test path,"['nonstandard-140', 'nonstandard-37', 'nonstandard-706', 'nonstandard-1005', 'nonstandard-1015', 'nonstandard-1026', 'nonstandard-1031', 'nonstandard-1051', 'nonstandard-1068', 'nonstandard-1078', 'nonstandard-1080', 'nonstandard-1101', 'nonstandard-1104', 'nonstandard-111', 'nonstandard-1115', 'nonstandard-1119', 'nonstandard-1123', 'nonstandard-1125', 'nonstandard-1134', 'nonstandard-1146', 'nonstandard-1149', 'nonstandard-1152', 'nonstandard-1159', 'nonstandard-1164', 'nonstandard-1173', 'nonstandard-1184', 'nonstandard-1185', 'nonstandard-1202', 'nonstandard-1205', 'nonstandard-126', 'nonstandard-130', 'nonstandard-133', 'nonstandard-137', 'nonstandard-370', 'nonstandard-375', 'nonstandard-378', 'nonstandard-386', 'nonstandard-400', 'nonstandard-404', 'nonstandard-419', 'nonstandard-42', 'nonstandard-428', 'nonstandard-44', 'nonstandard-443', 'nonstandard-45', 'nonstandard-504', 'nonstandard-530', 'nonstandard-552', 'nonstandard-553', 'nonstandard-559', 'nonstandard-570', 'nonstandard-573', 'nonstandard-609', 'nonstandard-613', 'nonstandard-640', 'nonstandard-642', 'nonstandard-650', 'nonstandard-659', 'nonstandard-668', 'nonstandard-669', 'nonstandard-674', 'nonstandard-69', 'nonstandard-692', 'nonstandard-698', 'nonstandard-702', 'nonstandard-704', 'nonstandard-711', 'nonstandard-722', 'nonstandard-748', 'nonstandard-763', 'nonstandard-807', 'nonstandard-811', 'nonstandard-817', 'nonstandard-827', 'nonstandard-845', 'nonstandard-846', 'nonstandard-847', 'nonstandard-848', 'nonstandard-850', 'nonstandard-852', 'nonstandard-868', 'nonstandard-869', 'nonstandard-875', 'nonstandard-88', 'nonstandard-902', 'nonstandard-907', 'nonstandard-909', 'nonstandard-922', 'nonstandard-943', 'nonstandard-950', 'nonstandard-956', 'nonstandard-958', 'nonstandard-96', 'nonstandard-961', 'nonstandard-973', 'nonstandard-981', 'nonstandard-991', 'nonstandard-996', 'nonstandard-142', 'nonstandard-147', 'nonstandard-17', 'nonstandard-172', 'nonstandard-175', 'nonstandard-182', 'nonstandard-190', 'nonstandard-195', 'nonstandard-200', 'nonstandard-201', 'nonstandard-209', 'nonstandard-224', 'nonstandard-240', 'nonstandard-244', 'nonstandard-250', 'nonstandard-253', 'nonstandard-269', 'nonstandard-283', 'nonstandard-290', 'nonstandard-303', 'nonstandard-309', 'nonstandard-328', 'nonstandard-330', 'nonstandard-357', 'nonstandard-364', 'standard-239', 'standard-474', 'standard-726', 'standard-1005', 'standard-1010', 'standard-1016', 'standard-103', 'standard-1032', 'standard-1035', 'standard-1042', 'standard-105', 'standard-1052', 'standard-1054', 'standard-1059', 'standard-1065', 'standard-1083', 'standard-1084', 'standard-1086', 'standard-1087', 'standard-1099', 'standard-1119', 'standard-1122', 'standard-1141', 'standard-1145', 'standard-1149', 'standard-1162', 'standard-1172', 'standard-12', 'standard-138', 'standard-154', 'standard-158', 'standard-175', 'standard-177', 'standard-187', 'standard-194', 'standard-200', 'standard-219', 'standard-230', 'standard-475', 'standard-480', 'standard-482', 'standard-487', 'standard-497', 'standard-498', 'standard-532', 'standard-546', 'standard-551', 'standard-560', 'standard-567', 'standard-568', 'standard-588', 'standard-593', 'standard-613', 'standard-631', 'standard-650', 'standard-651', 'standard-660', 'standard-669', 'standard-671', 'standard-688', 'standard-690', 'standard-695', 'standard-702', 'standard-719', 'standard-243', 'standard-248', 'standard-263', 'standard-27', 'standard-281', 'standard-284', 'standard-298', 'standard-307', 'standard-308', 'standard-312', 'standard-323', 'standard-368', 'standard-38', 'standard-383', 'standard-391', 'standard-402', 'standard-410', 'standard-411', 'standard-417', 'standard-422', 'standard-427', 'standard-435', 'standard-440', 'standard-448', 'standard-464', 'standard-465', 'standard-468', 'standard-732', 'standard-733', 'standard-734', 'standard-74', 'standard-791', 'standard-811', 'standard-836', 'standard-851', 'standard-880', 'standard-884', 'standard-89', 'standard-893', 'standard-913', 'standard-919', 'standard-927', 'standard-937', 'standard-948', 'standard-950', 'standard-952', 'standard-958', 'standard-969', 'standard-971', 'standard-979', 'standard-983', 'standard-990', 'standard-992', 'standard-998']"
Image Name,real label,path
140,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/140
37,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/37
706,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/706
1005,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1005
1026,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1026
1031,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1031
1051,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1051
1080,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1080
1104,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1104
1115,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1115
1119,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1119
1123,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1123
1125,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1125
1146,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1146
1152,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1152
1164,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1164
1173,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1173
1184,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1184
1185,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/1185
126,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/126
137,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/137
386,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/386
400,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/400
404,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/404
419,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/419
42,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/42
428,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/428
443,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/443
552,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/552
553,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/553
559,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/559
570,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/570
640,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/640
642,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/642
650,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/650
659,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/659
668,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/668
692,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/692
698,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/698
702,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/702
704,nonstandard,/media/huangyujun/disk/data/盆底质控数据/splited_dataset_noT/test/nonstandard/704
